Dist Code,Year,State Code,State Name,Dist Name,WHEAT YIELD (Kg per ha)
8,2001,6,Madhya Pradesh,Balaghat,913
8,2002,6,Madhya Pradesh,Balaghat,1060
8,2005,6,Madhya Pradesh,Balaghat,955
8,2008,6,Madhya Pradesh,Balaghat,815
8,2010,6,Madhya Pradesh,Balaghat,1517
10,2001,6,Madhya Pradesh,Narsinghpur,3196
10,2002,6,Madhya Pradesh,Narsinghpur,2730
10,2005,6,Madhya Pradesh,Narsinghpur,2965
10,2008,6,Madhya Pradesh,Narsinghpur,3045
10,2010,6,Madhya Pradesh,Narsinghpur,3298
12,2001,6,Madhya Pradesh,Mandla,860
12,2002,6,Madhya Pradesh,Mandla,774
12,2005,6,Madhya Pradesh,Mandla,938
12,2008,6,Madhya Pradesh,Mandla,905
12,2010,6,Madhya Pradesh,Mandla,954
14,2001,6,Madhya Pradesh,Damoh,1419
14,2002,6,Madhya Pradesh,Damoh,1332
14,2005,6,Madhya Pradesh,Damoh,1491
14,2008,6,Madhya Pradesh,Damoh,1967
14,2010,6,Madhya Pradesh,Damoh,2387
19,2001,6,Madhya Pradesh,Sidhi,809
19,2002,6,Madhya Pradesh,Sidhi,652
19,2005,6,Madhya Pradesh,Sidhi,746
19,2008,6,Madhya Pradesh,Sidhi,870
19,2010,6,Madhya Pradesh,Sidhi,708
24,2001,6,Madhya Pradesh,Guna,1390
24,2002,6,Madhya Pradesh,Guna,674
24,2005,6,Madhya Pradesh,Guna,1615
24,2008,6,Madhya Pradesh,Guna,1697
24,2010,6,Madhya Pradesh,Guna,2114
33,2001,6,Madhya Pradesh,Dhar,1145
33,2002,6,Madhya Pradesh,Dhar,1608
33,2005,6,Madhya Pradesh,Dhar,1746
33,2008,6,Madhya Pradesh,Dhar,2116
33,2010,6,Madhya Pradesh,Dhar,2350
43,2001,6,Madhya Pradesh,Hoshangabad,2649
43,2002,6,Madhya Pradesh,Hoshangabad,2253
43,2005,6,Madhya Pradesh,Hoshangabad,2223
43,2008,6,Madhya Pradesh,Hoshangabad,2774
43,2010,6,Madhya Pradesh,Hoshangabad,3525
502,2001,6,Madhya Pradesh,Bhopal,1701
502,2002,6,Madhya Pradesh,Bhopal,1516
502,2005,6,Madhya Pradesh,Bhopal,1769
502,2008,6,Madhya Pradesh,Bhopal,1880
502,2010,6,Madhya Pradesh,Bhopal,1693
2007,2008,6,Madhya Pradesh,Singrauli,898
2007,2010,6,Madhya Pradesh,Singrauli,1140
